Type : Anisotropic Elastic Medium
Name : Test
Density [kg.m^-3] : 2100.000
Stiffnesses [Pa]
c11 : 8.0000000e+10
c12 : 5.0000000e+09
c13 : 4.0000000e+09
c14 : 0.0000000e+00
c15 : 0.0000000e+00
c16 : 0.0000000e+00
c22 : 3.0000000e+10
c23 : 3.0000000e+09
c24 : 0.0000000e+00
c25 : 0.0000000e+00
c26 : 0.0000000e+00
c33 : 2.0000000e+10
c34 : 0.0000000e+00
c35 : 0.0000000e+00
c36 : 0.0000000e+00
c44 : 9.0000000e+09
c45 : 0.0000000e+00
c46 : 0.0000000e+00
c55 : 8.0000000e+09
c56 : 0.0000000e+00
c66 : 6.0000000e+09
