Type : Anisotropic Elastic Medium
Name : Imagino
Density [kg.m^-3] : 4000.000
Stiffnesses [Pa]
c11 : 4.5000000e+10
c12 : 1.0000000e+10
c13 : 5.0000000e+09
c14 : 0.0000000e+00
c15 : 0.0000000e+00
c16 : 0.0000000e+00
c22 : 2.5000000e+10
c23 : 5.0000000e+09
c24 : 0.0000000e+00
c25 : 0.0000000e+00
c26 : 0.0000000e+00
c33 : 2.5000000e+10
c34 : 0.0000000e+00
c35 : 0.0000000e+00
c36 : 0.0000000e+00
c44 : 1.0000000e+10
c45 : 0.0000000e+00
c46 : 0.0000000e+00
c55 : 1.0000000e+10
c56 : 0.0000000e+00
c66 : 1.0000000e+10
